"DANSK.NAVN";"LATINSK.NAVN";"Familie";"ID"
"Navr";"Acer campestre";"Aceraceae";"56193"
"Spids-løn";"Acer platanoides";"Aceraceae";"54763"
"Ahorn (Ær)";"Acer pseudoplatanus";"Aceraceae";"119791"
"Almindelig røllike";"Achillea millefolium";"Asteraceae";"52821"
"Hunde-hvene";"Agrostis canina";"Poaceae";"158132"
"Almindelig hvene";"Agrostis capillaris";"Poaceae";"75312"
"Stortoppet hvene";"Agrostis gigantea";"Poaceae";"75314"
"Kryb-hvene";"Agrostis stolonifera";"Poaceae";"69931"
"Udspærret dværgbunke";"Aira caryophyllea";"Poaceae";"52694"
"Tidlig dværgbunke";"Aira praecox";"Poaceae";"61058"
"Pyramide-læbeløs";"Ajuga pyramidalis";"Lamiaceae";"133012"
"Krybende læbeløs";"Ajuga reptans";"Lamiaceae";"56099"
"Løgkarse";"Alliaria petiolata";"Brassicaceae";"56061"
"Rød-el";"Alnus glutinosa";"Betulaceae";"966205"
"Knæbøjet rævehale";"Alopecurus geniculatus";"Poaceae";"71140"
"Eng-rævehale";"Alopecurus pratensis";"Poaceae";"71141"
"Sand-hjælme";"Ammophila arenaria";"Poaceae";"61055"
"Læge-oksetunge";"Anchusa officinalis";"Boraginaceae";"75430"
"Rosmarinlyng";"Andromeda polifolia";"Ericaceae";"119892"
"Hvid anemone";"Anemone nemorosa";"Ranunculaceae";"950603"
"Nikkende kobjælde";"Anemone pratensis";"Ranunculaceae";"57393"
"Opret kobjælde";"Anemone pulsatilla";"Ranunculaceae";"60786"
"Gul anemone";"Anemone ranunculoides";"Ranunculaceae";"124816"
"Vår-kobjælde";"Anemone vernalis";"Ranunculaceae";"60905"
"Angelik";"Angelica sylvestris";"Apiaceae";"158380"
"Gold hejre";"Anisantha sterilis";"Poaceae";"57163"
"Vellugtende gulaks";"Anthoxanthum odoratum";"Poaceae";"75475"
"Vild kørvel";"Anthriscus sylvestris";"Apiaceae";"124544"
"Rundbælg";"Anthyllis vulneraria";"Fabaceae";"82685"
"Gåsepotentil";"Argentina anserina";"Rosaceae";"62216"
"Strand-engelskgræs";"Armeria maritima ssp. maritima";"Plumbaginaceae";"60476"
"Draphavre";"Arrhenatherum elatius";"Poaceae";"75583"
"Mark-bynke";"Artemisia campestris";"Asteraceae";"127960"
"Grå-bynke";"Artemisia vulgaris";"Asteraceae";"52856"
"Dansk astragel";"Astragalus danicus";"Fabaceae";"334736"
"Sød astragel";"Astragalus glycyphyllos";"Fabaceae";"158900"
"Fjerbregne";"Athyrium filix-femina";"Woodsiaceae";"52669"
"Strand-mælde";"Atriplex littoralis";"Chenopodiaceae";"159077"
"Spyd-mælde";"Atriplex prostrata";"Chenopodiaceae";"60176"
"Tusindfryd";"Bellis perennis";"Asteraceae";"55563"
"Strand-bede";"Beta vulgaris ssp. maritima";"Chenopodiaceae";"54498"
"Vorte-birk";"Betula pendula";"Betulaceae";"83992"
"Dun-birk";"Betula pubescens";"Betulaceae";"119061"
"Kambregne";"Blechnum spicant";"Blechnaceae";"774894"
"Hjertegræs";"Briza media";"Poaceae";"159452"
"Opret hejre";"Bromopsis erecta";"Poaceae";"159458"
"Blød hejre";"Bromus hordeaceus ssp. hordeaceus";"Poaceae";"52703"
"Almindelig strandsennep";"Cakile maritima ssp. maritima";"Brassicaceae";"60982"
"Eng-rørhvene";"Calamagrostis canescens";"Poaceae";"196930"
"Bjerg-rørhvene";"Calamagrostis epigejos";"Poaceae";"204260"
"Hedelyng";"Calluna vulgaris";"Ericaceae";"119451"
"Eng-kabbeleje";"Caltha palustris ssp. palustris";"Ranunculaceae";"56224"
"Gærde-snerle";"Calystegia sepium";"Convolvulaceae";"57481"
"Vandkarse";"Cardamine amara";"Brassicaceae";"132481"
"Tandrod";"Cardamine bulbifera";"Brassicaceae";"124720"
"Almindelig engkarse";"Cardamine pratensis ssp. pratensis";"Brassicaceae";"54531"
"Nikkende star";"Carex acuta";"Cyperaceae";"435946"
"Kær-star";"Carex acutiformis";"Cyperaceae";"159858"
"Sand-star";"Carex arenaria";"Cyperaceae";"159875"
"Grå star";"Carex canescens";"Cyperaceae";"76023"
"Vår-star";"Carex caryophyllea";"Cyperaceae";"159906"
"Tue-star";"Carex cespitosa";"Cyperaceae";"487827"
"Grøn star";"Carex demissa";"Cyperaceae";"234901"
"Tvebo star";"Carex dioica";"Cyperaceae";"437963"
"Fjernakset star";"Carex distans";"Cyperaceae";"159933"
"Toradet star";"Carex disticha";"Cyperaceae";"159935"
"Mellembrudt star";"Carex divulsa ssp. leersii";"Cyperaceae";"76033"
"Stjerne-star";"Carex echinata";"Cyperaceae";"76035"
"Stiv star";"Carex elata";"Cyperaceae";"82315"
"Blågrøn star";"Carex flacca";"Cyperaceae";"159951"
"Håret star";"Carex hirta";"Cyperaceae";"159973"
"Krognæb-star";"Carex lepidocarpa";"Cyperaceae";"635562"
"Almindelig star";"Carex nigra var. nigra";"Cyperaceae";"160036"
"Sylt-star";"Carex otrubae";"Cyperaceae";"400433"
"Hare-star";"Carex ovalis";"Cyperaceae";"76067"
"Hirse-star";"Carex panicea";"Cyperaceae";"160056"
"Top-star";"Carex paniculata";"Cyperaceae";"208495"
"Pille-star";"Carex pilulifera";"Cyperaceae";"437973"
"Akselblomstret star";"Carex remota";"Cyperaceae";"141184"
"Skov-star";"Carex sylvatica";"Cyperaceae";"69640"
"Blære-star";"Carex vesicaria";"Cyperaceae";"76127"
"Bakketidsel";"Carlina vulgaris";"Asteraceae";"118834"
"Avnbøg";"Carpinus betulus";"Corylaceae";"55801"
"Almindelig knopurt";"Centaurea jacea";"Asteraceae";"55713"
"Stor knopurt";"Centaurea scabiosa";"Asteraceae";"84344"
"Firehannet hønsetarm";"Cerastium diffusum";"Caryophyllaceae";"76220"
"Almindelig hønsetarm";"Cerastium fontanum ssp. vulgare var. vulgare";"Caryophyllaceae";"53307"
"Femhannet hønsetarm";"Cerastium semidecandrum";"Caryophyllaceae";"160343"
"Almindelig hulsvøb";"Chaerophyllum temulum";"Apiaceae";"55733"
"Almindelig milturt";"Chrysosplenium alternifolium";"Saxifragaceae";"133031"
"Småbladet milturt";"Chrysosplenium oppositifolium";"Saxifragaceae";"69626"
"Dunet steffensurt";"Circaea lutetiana";"Onagraceae";"51843"
"Ager-tidsel";"Cirsium arvense";"Asteraceae";"60132"
"Kål-tidsel";"Cirsium oleraceum";"Asteraceae";"133653"
"Kær-tidsel";"Cirsium palustre";"Asteraceae";"160623"
"Horse-tidsel";"Cirsium vulgare";"Asteraceae";"52989"
"Kragefod";"Comarum palustre";"Rosaceae";"62213"
"Liljekonval";"Convallaria majalis";"Convallariaceae";"48206"
"Ager-snerle";"Convolvulus arvensis";"Convolvulaceae";"53021"
"Hassel";"Corylus avellana";"Corylaceae";"54491"
"Sandskæg";"Corynephorus canescens";"Poaceae";"160927"
"Strandkål";"Crambe maritima";"Brassicaceae";"55399"
"Almindelig hvidtjørn";"Crataegus laevigata";"Rosaceae";"54428"
"Éngriflet hvidtjørn";"Crataegus monogyna";"Rosaceae";"51147"
"Læge-hundetunge";"Cynoglossum officinale";"Boraginaceae";"48152"
"Almindelig kamgræs";"Cynosurus cristatus";"Poaceae";"76581"
"Gyvel";"Cytisus scoparius";"Fabaceae";"48538"
"Almindelig hundegræs";"Dactylis glomerata ssp. glomerata";"Poaceae";"52720"
"Kødfarvet Gøgeurt";"Dactylorhiza incarnata ssp. incarnata var. incarnata";"Orchidaceae";"48982"
"Plettet gøgeurt";"Dactylorhiza maculata ssp. maculata";"Orchidaceae";"82159"
"Maj-Gøgeurt";"Dactylorhiza majalis ssp. majalis";"Orchidaceae";"133492"
"Tandbælg";"Danthonia decumbens";"Poaceae";"76603"
"Vild gulerod";"Daucus carota ssp. carota";"Apiaceae";"76610"
"Mose-bunke";"Deschampsia cespitosa";"Poaceae";"76639"
"Bølget bunke";"Deschampsia flexuosa";"Poaceae";"129779"
"Bakke-nellike";"Dianthus deltoides";"Caryophyllaceae";"76647"
"Liden soldug";"Drosera intermedia";"Droseraceae";"53038"
"Rundbladet soldug";"Drosera rotundifolia";"Droseraceae";"52658"
"Smalbladet mangeløv";"Dryopteris carthusiana";"Dryopteridaceae";"82564"
"Bredbladet mangeløv";"Dryopteris dilatata";"Dryopteridaceae";"359752"
"Almindelig mangeløv";"Dryopteris filix-mas";"Dryopteridaceae";"76721"
"Mangestænglet sumpstrå";"Eleocharis multicaulis";"Cyperaceae";"338059"
"Almindelig sumpstrå";"Eleocharis palustris ssp. vulgaris";"Cyperaceae";"76782"
"Enskællet sumpstrå";"Eleocharis uniglumis";"Cyperaceae";"162264"
"Strand-kvik";"Elytrigia juncea";"Poaceae";"866524"
"Almindelig kvik";"Elytrigia repens ssp. repens";"Poaceae";"60284"
"Revling";"Empetrum nigrum";"Ericaceae";"76812"
"Gederams";"Epilobium angustifolium";"Onagraceae";"55983"
"Lådden dueurt";"Epilobium hirsutum";"Onagraceae";"84517"
"Ager-padderok";"Equisetum arvense";"Equisetaceae";"52724"
"Dynd-padderok";"Equisetum fluviatile";"Equisetaceae";"47745"
"Kær-padderok";"Equisetum palustre";"Equisetaceae";"76846"
"Lund-padderok";"Equisetum pratense";"Equisetaceae";"127900"
"Skov-padderok";"Equisetum sylvaticum";"Equisetaceae";"118537"
"Klokkelyng";"Erica tetralix";"Ericaceae";"162431"
"Smalbladet kæruld";"Eriophorum angustifolium";"Cyperaceae";"127215"
"Bredbladet kæruld";"Eriophorum latifolium";"Cyperaceae";"334263"
"Tue-kæruld";"Eriophorum vaginatum";"Cyperaceae";"128735"
"Hejrenæb";"Erodium cicutarium";"Geraniaceae";"47687"
"Benved";"Euonymus europaeus";"Celastraceae";"55847"
"Bøg";"Fagus sylvatica";"Fagaceae";"54227"
"Strand-svingel";"Festuca arundinacea";"Poaceae";"77134"
"Bakke-svingel";"Festuca brevipila";"Poaceae";"77148"
"Kæmpe-svingel";"Festuca gigantea";"Poaceae";"162949"
"Fåre-svingel";"Festuca ovina";"Poaceae";"125903"
"Eng-svingel";"Festuca pratensis";"Poaceae";"77143"
"Rød svingel";"Festuca rubra";"Poaceae";"61061"
"Almindelig mjødurt";"Filipendula ulmaria";"Rosaceae";"63134"
"Knoldet mjødurt";"Filipendula vulgaris";"Rosaceae";"62020"
"Tørst";"Frangula alnus";"Rhamnaceae";"55972"
"Ask";"Fraxinus excelsior";"Oleaceae";"125440"
"Burre-snerre";"Galium aparine";"Rubiaceae";"53059"
"Hvid snerre";"Galium mollugo";"Rubiaceae";"77206"
"Skovmærke";"Galium odoratum";"Rubiaceae";"56065"
"Kær-snerre";"Galium palustre ssp. palustre";"Rubiaceae";"163184"
"Lyng-snerre";"Galium saxatile";"Rubiaceae";"130303"
"Sump-snerre";"Galium uliginosum";"Rubiaceae";"208789"
"Gul snerre";"Galium verum";"Rubiaceae";"84328"
"Engelsk visse";"Genista anglica";"Fabaceae";"192621"
"Farve-visse";"Genista tinctoria";"Fabaceae";"163222"
"Blød storkenæb";"Geranium molle";"Geraniaceae";"53076"
"Stinkende storkenæb";"Geranium robertianum";"Geraniaceae";"55925"
"Blodrød storkenæb";"Geranium sanguineum";"Geraniaceae";"129853"
"Eng-nellikerod";"Geum rivale";"Rosaceae";"55750"
"Feber-nellikerod";"Geum urbanum";"Rosaceae";"55891"
"Sandkryb";"Glaux maritima";"Myrsinaceae";"204175"
"Korsknap";"Glechoma hederacea";"Lamiaceae";"55830"
"Knærod";"Goodyera repens";"Orchidaceae";"62407"
"Vedbend";"Hedera helix";"Araliaceae";"55882"
"Gul evighedsblomst";"Helichrysum arenarium";"Asteraceae";"194555"
"Almindelig enghavre";"Helictotrichon pratense";"Poaceae";"447825"
"Dunet enghavre";"Helictotrichon pubescens";"Poaceae";"204205"
"Blå anemone";"Hepatica nobilis";"Ranunculaceae";"416404"
"Kæmpe-bjørneklo";"Heracleum mantegazzianum";"Apiaceae";"130228"
"Festgræs";"Hierochloë odorata";"Poaceae";"163806"
"Havtorn";"Hippophaë rhamnoides";"Elaeagnaceae";"163812"
"Fløjlsgræs";"Holcus lanatus";"Poaceae";"52793"
"Krybende hestegræs";"Holcus mollis";"Poaceae";"77427"
"Strandarve";"Honckenya peploides";"Caryophyllaceae";"129449"
"Plettet kongepen";"Hypochoeris maculata";"Asteraceae";"336279"
"Almindelig kongepen";"Hypochoeris radicata";"Asteraceae";"53104"
"Gul iris";"Iris pseudacorus";"Iridaceae";"47779"
"Blåmunke";"Jasione montana";"Campanulaceae";"55022"
"Spidsblomstret siv";"Juncus acutiflorus";"Juncaceae";"333981"
"Sand-siv";"Juncus anceps var. atricapillus";"Juncaceae";"787417"
"Glanskapslet siv";"Juncus articulatus";"Juncaceae";"77552"
"Knop-siv";"Juncus conglomeratus";"Juncaceae";"204335"
"Lyse-siv";"Juncus effusus";"Juncaceae";"56153"
"Harril";"Juncus gerardii";"Juncaceae";"77572"
"Blågrå siv";"Juncus inflexus";"Juncaceae";"164269"
"Børste-siv";"Juncus squarrosus";"Juncaceae";"52633"
"Ene";"Juniperus communis";"Cupressaceae";"58725"
"Blåhat";"Knautia arvensis";"Dipsacaceae";"129115"
"Rød tvetand";"Lamium purpureum";"Lamiaceae";"55851"
"Strand-fladbælg";"Lathyrus japonicus ssp. maritimus var. maritimus";"Fabaceae";"77638"
"Krat-fladbælg";"Lathyrus linifolius";"Fabaceae";"85072"
"Gul fladbælg";"Lathyrus pratensis";"Fabaceae";"125787"
"Marehalm";"Leymus arenarius";"Poaceae";"164671"
"Almindelig rajgræs";"Lolium perenne";"Poaceae";"52801"
"Almindelig gedeblad";"Lonicera periclymenum";"Caprifoliaceae";"55885"
"Dunet gedeblad";"Lonicera xylosteum";"Caprifoliaceae";"124548"
"Almindelig kællingetand";"Lotus corniculatus";"Fabaceae";"47435"
"Mark-frytle";"Luzula campestris";"Juncaceae";"55795"
"Mangeblomstret frytle";"Luzula multiflora";"Juncaceae";"164948"
"Håret frytle";"Luzula pilosa";"Juncaceae";"69613"
"Trævlekrone";"Lychnis flos-cuculi";"Caryophyllaceae";"55993"
"Majblomst";"Maianthemum bifolium";"Convallariaceae";"50247"
"Humle-sneglebælg";"Medicago lupulina";"Fabaceae";"57056"
"Liden sneglebælg";"Medicago minima";"Fabaceae";"77971"
"Ager-kohvede";"Melampyrum arvense";"Orobanchaceae";"245680"
"Kantet kohvede";"Melampyrum cristatum";"Orobanchaceae";"57494"
"Almindelig kohvede";"Melampyrum pratense";"Orobanchaceae";"60076"
"Nikkende flitteraks";"Melica nutans";"Poaceae";"448134"
"Enblomstret flitteraks";"Melica uniflora";"Poaceae";"450670"
"Vand-mynte";"Mentha aquatica";"Lamiaceae";"77990"
"Bukkeblad";"Menyanthes trifoliata";"Menyanthaceae";"78016"
"Almindelig bingelurt";"Mercurialis perennis";"Euphorbiaceae";"126757"
"Miliegræs";"Milium effusum";"Poaceae";"165390"
"Blåtop";"Molinia caerulea";"Poaceae";"165499"
"Mark-forglemmigej";"Myosotis arvensis";"Boraginaceae";"51726"
"Bakke-forglemmigej";"Myosotis ramosissima";"Boraginaceae";"336671"
"Mark-krageklo";"Ononis spinosa ssp. maritima var. maritima";"Fabaceae";"82730"
"Tyndakset gøgeurt";"Orchis mascula";"Orchidaceae";"132621"
"Skovsyre";"Oxalis acetosella";"Oxalidaceae";"69624"
"Firblad";"Paris quadrifolia";"Trilliaceae";"123666"
"Vild pastinak";"Pastinaca sativa ssp. sylvestris";"Apiaceae";"59778"
"Rørgræs";"Phalaris arundinacea";"Poaceae";"63337"
"Dunbregne";"Phegopteris connectilis";"Thelypteridaceae";"122082"
"Sand-rottehale";"Phleum arenarium";"Poaceae";"166678"
"Glat rottehale";"Phleum phleoides";"Poaceae";"361313"
"Eng-rottehale";"Phleum pratense";"Poaceae";"57190"
"Tagrør";"Phragmites australis";"Poaceae";"64237"
"Rød-gran";"Picea abies";"Pinaceae";"63567"
"Sitka-gran";"Picea sitchensis";"Pinaceae";"68131"
"Håret høgeurt";"Pilosella officinarum";"Asteraceae";"402509"
"Almindelig pimpinelle";"Pimpinella saxifraga";"Apiaceae";"166880"
"Vibefedt";"Pinguicula vulgaris";"Lentibulariaceae";"121266"
"Bjerg-fyr";"Pinus mugo";"Pinaceae";"135727"
"Skov-fyr";"Pinus sylvestris";"Pinaceae";"5872289"
"Fliget vejbred";"Plantago coronopus";"Plantaginaceae";"58960"
"Lancet-vejbred";"Plantago lanceolata";"Plantaginaceae";"53178"
