scientific_name;common_name;taxon_id
Silene latifolia;Aften-Pragtstjerne;79109
Melampyrum arvense;Ager-kohvede;245680
Equisetum arvense;Ager-padderok;52724
Convolvulus arvensis;Ager-snerle;53021
Cirsium arvense;Ager-tidsel;60132
Acer pseudoplatanus;Ahorn;119791
Carex remota;Akselblomstret star;141184
Mercurialis perennis;Almindelig bingelurt;126757
Senecio vulgaris;Almindelig brandbæger;53211
Prunella vulgaris;Almindelig brunelle;52764
Quercus robur;Almindelig eg;56133
Polypodium vulgare;Almindelig engelsød;127079
Stellaria media;Almindelig fuglegræs;53298
Lonicera periclymenum;Almindelig gedeblad;55885
Solidago virgaurea;Almindelig gyldenris;118850
Chaerophyllum temulum;Almindelig hulsvøb;55733
Agrostis capillaris;Almindelig hvene;75312
Crataegus laevigata;Almindelig hvidtjørn;54428
Sambucus nigra;Almindelig hyld;765394
Prunus padus;almindelig hæg;143793
Cerastium fontanum;Almindelig Hønsetarm;53307
Cynosurus cristatus;Almindelig kamgræs;76581
Centaurea jacea;Almindelig knopurt;55713
Melampyrum pratense;Almindelig kohvede;60076
Hypochaeris radicata;Almindelig Kongepen;53104
Elymus repens;Almindelig kvik;60284
Lotus corniculatus;Almindelig kællingetand;47435
Dryopteris filix-mas;Almindelig mangeløv;76721
Chrysosplenium alternifolium;Almindelig milturt;133031
Filipendula ulmaria;Almindelig mjødurt;63134
Polygala vulgaris;Almindelig mælkeurt;167210
Pastinaca sativa;Almindelig Pastinak;59778
Pimpinella saxifraga;Almindelig pimpinelle;166880
Lolium perenne;Almindelig rajgræs;52801
Poa trivialis;Almindelig rapgræs;78657
Achillea millefolium;Almindelig røllike;52821
Sorbus aucuparia;Almindelig røn;56063
Salicornia europaea;Almindelig salturt;203760
Carex nigra;Almindelig star;160036
Cakile maritima;Almindelig Strandsennep;60982
Eleocharis palustris;Almindelig sumpstrå;76782
Rumex acetosa;Almindelig syre;55821
Angelica sylvestris;Angelik;158380
Fraxinus excelsior;Ask;125440
Carpinus betulus;Avnbøg;55801
Myosotis ramosissima;Bakke-forglemmigej;336671
Dianthus deltoides;Bakke-nellike;76647
Carlina vulgaris;Bakketidsel;118834
Beta vulgaris;Bede;54498
Euonymus europaeus;Benved;55847
Ranunculus acris;Bidende ranunkel;56064
Sedum acre;Bidende stenurt;55734
Polygala amarella;Bitter mælkeurt;447848
Pinus mugo;Bjerg-fyr;135727
Calamagrostis epigejos;Bjerg-rørhvene;204260
Veronica montana;Bjerg-ærenpris;320310
Geranium sanguineum;Blodrød storkenæb;129853
Carex vesicaria;Blære-star;76127
Bromus hordeaceus;Blød Hejre;52703
Geranium molle;Blød storkenæb;53076
Vaccinium myrtillus;Blåbær;127029
Carex flacca;Blågrøn star;159951
Juncus inflexus;Blågrå siv;164269
Knautia arvensis;Blåhat;129115
Jasione montana;Blåmunke;55022
Molinia caerulea;Blåtop;165499
Typha latifolia;Bredbladet dunhammer;48685
Eriophorum latifolium;Bredbladet kæruld;334263
Dryopteris dilatata;Bredbladet mangeløv;359752
Thymus pulegioides;Bredbladet timian;169753
Rhynchospora fusca;Brun næbfrø;167869
Trifolium medium;Bugtet kløver;85065
Menyanthes trifoliata;Bukkeblad;78016
Galium aparine;Burre-snerre;53059
