scientific_name;common_name;taxon_id;;;;;;;;;
Silene latifolia;Aften-Pragtstjerne;79109;;;Almindelig enghavre;FALSE;;;;;
Melampyrum arvense;Ager-kohvede;245680;;;Almindelig fuglegræs;TRUE;;;;;
Equisetum arvense;Ager-padderok;52724;;;Almindelig gyldenris;TRUE;;;;;
Convolvulus arvensis;Ager-snerle;53021;;;Almindelig hønsetarm;TRUE;;;;;
Cirsium arvense;Ager-tidsel;60132;;;Almindelig knopurt;TRUE;;;;;
Acer pseudoplatanus;Ahorn;119791;;;Almindelig kongepen;TRUE;;;;;
Carex remota;Akselblomstret star;141184;;;Almindelig mangeløv;TRUE;;;;;
Mercurialis perennis;Almindelig bingelurt;126757;;;Almindelig milturt;TRUE;;;;;
Senecio vulgaris;Almindelig brandbæger;53211;;;Almindelig pimpinelle;TRUE;;;;;
Prunella vulgaris;Almindelig brunelle;52764;;;Almindelig rapgræs;TRUE;;;;;
Quercus robur;Almindelig eg;56133;;;Almindelig star;TRUE;;;;;
Polypodium vulgare;Almindelig engelsød;127079;;;Bakke-svingel;TRUE;;;;;
Stellaria media;Almindelig fuglegræs;53298;;;Benved;TRUE;;;;;
Lonicera periclymenum;Almindelig gedeblad;55885;;;Bjerg-fyr;TRUE;;;;;
Solidago virgaurea;Almindelig gyldenris;118850;;;Blågrøn star;TRUE;;;;;
Chaerophyllum temulum;Almindelig hulsvøb;55733;;;Bredbladet timian;TRUE;;;;;
Agrostis capillaris;Almindelig hvene;75312;;;Brombær coll.;FALSE;;;;;
Crataegus laevigata;Almindelig hvidtjørn;54428;;;Bukkeblad;TRUE;;;;;
Sambucus nigra;Almindelig hyld;765394;;;Bævreasp;TRUE;;;;;
Prunus padus;almindelig hæg;143793;;;Bølget bunke;FALSE;;;;;
Cerastium fontanum;Almindelig Hønsetarm;53307;;;Børste-siv;TRUE;;;;;
Cynosurus cristatus;Almindelig kamgræs;76581;;;Draphavre;TRUE;;;;;
Centaurea jacea;Almindelig knopurt;55713;;;Drue-hyld;TRUE;;;;;
Melampyrum pratense;Almindelig kohvede;60076;;;Dun-birk;TRUE;;;;;
Hypochaeris radicata;Almindelig Kongepen;53104;;;Eng-svingel;FALSE;;;;;
Elymus repens;Almindelig kvik;60284;;;Enårig rapgræs;TRUE;;;;;
Lotus corniculatus;Almindelig kællingetand;47435;;;Femhannet hønsetarm;TRUE;;;;;
Dryopteris filix-mas;Almindelig mangeløv;76721;;;Festgræs;FALSE;;;;;
Chrysosplenium alternifolium;Almindelig milturt;133031;;;Firehannet hønsetarm;TRUE;;;;;
Filipendula ulmaria;Almindelig mjødurt;63134;;;Fladstrået rapgræs;TRUE;;;;;
Polygala vulgaris;Almindelig mælkeurt;167210;;;Flipkrave;TRUE;;;;;
Pastinaca sativa;Almindelig Pastinak;59778;;;Fåre-svingel;TRUE;;;;;
Pimpinella saxifraga;Almindelig pimpinelle;166880;;;Græsbladet fladstjerne;TRUE;;;;;
Lolium perenne;Almindelig rajgræs;52801;;;Grøn star;TRUE;;;;;
Poa trivialis;Almindelig rapgræs;78657;;;Gul evighedsblomst;FALSE;;;;;
Achillea millefolium;Almindelig røllike;52821;;;Harril;FALSE;;;;;
Sorbus aucuparia;Almindelig røn;56063;;;Hindbær;TRUE;;;;;
Salicornia europaea;Almindelig salturt;203760;;;Knærod;TRUE;;;;;
Carex nigra;Almindelig star;160036;;;Krybende pil ;FALSE;;;;;
Cakile maritima;Almindelig Strandsennep;60982;;;Kæmpe-svingel;FALSE;;;;;
Eleocharis palustris;Almindelig sumpstrå;76782;;;Kær-star;TRUE;;;;;
Rumex acetosa;Almindelig syre;55821;;;Kær-trehage;FALSE;;;;;
Angelica sylvestris;Angelik;158380;;;Liden soldug;TRUE;;;;;
Fraxinus excelsior;Ask;125440;;;Læge-hundetunge;TRUE;;;;;
Carpinus betulus;Avnbøg;55801;;;Læge-oksetunge;FALSE;;;;;FALSE
Myosotis ramosissima;Bakke-forglemmigej;336671;;;Mangestænglet sumpstrå;TRUE;;;;;TRUE
Dianthus deltoides;Bakke-nellike;76647;;;Marehalm;TRUE;;;;;TRUE
Festuca trachyphylla;Bakke-Svingel;77148;;;Mose-bunke;TRUE;;;;;TRUE
Carlina vulgaris;Bakketidsel;118834;;;Nikkende star;TRUE;;;;;TRUE
Beta vulgaris;Bede;54498;;;Nyrebladet ranunkel;TRUE;;;;;TRUE
Euonymus europaeus;Benved;55847;;;Plettet kongepen;TRUE;;;;;TRUE
Ranunculus acris;Bidende ranunkel;56064;;;Rundbladet soldug;TRUE;;;;;TRUE
Sedum acre;Bidende stenurt;55734;;;Rød svingel;TRUE;;;;;TRUE
Polygala amarella;Bitter mælkeurt;447848;;;Rød-el;TRUE;;;;;TRUE
Pinus mugo;Bjerg-fyr;135727;;;Rød-gran;TRUE;;;;;TRUE
Calamagrostis epigejos;Bjerg-rørhvene;204260;;;Sand-hjælme;TRUE;;;;;TRUE
Veronica montana;Bjerg-ærenpris;320310;;;Sand-siv;FALSE;;;;;TRUE
Geranium sanguineum;Blodrød storkenæb;129853;;;Seline;TRUE;;;;;TRUE
Carex vesicaria;Blære-star;76127;;;Sitka-gran;FALSE;;;;;TRUE
Bromus hordeaceus;Blød Hejre;52703;;;Skov-fyr;FALSE;;;;;TRUE
Geranium molle;Blød storkenæb;53076;;;Smalbladet timian;TRUE;;;;;FALSE
Vaccinium myrtillus;Blåbær;127029;;;Småbladet milturt;TRUE;;;;;TRUE
Carex flacca;Blågrøn star;159951;;;Spyd-mælde;TRUE;;;;;TRUE
Juncus inflexus;Blågrå siv;164269;;;Stiv star;TRUE;;;;;FALSE
Knautia arvensis;Blåhat;129115;;;Stor fladstjerne;TRUE;;;;;TRUE
Jasione montana;Blåmunke;55022;;;Stor knopurt;TRUE;;;;;TRUE
Molinia caerulea;Blåtop;165499;;;Strand-annelgræs;FALSE;;;;;TRUE
Typha latifolia;Bredbladet dunhammer;48685;;;Strand-bede;FALSE;;;;;TRUE
Eriophorum latifolium;Bredbladet kæruld;334263;;;Strand-kvik;TRUE;;;;;FALSE
Dryopteris dilatata;Bredbladet mangeløv;359752;;;Strand-mælde;TRUE;;;;;TRUE
Thymus pulegioides;Bredbladet timian;169753;;;Strand-svingel;FALSE;;;;;TRUE
Rhynchospora fusca;Brun næbfrø;167869;;;Strand-trehage;TRUE;;;;;FALSE
